,latitud,longitud,year,matching_accuracy
6753,28.021217346191406,69.54607391357422,2018,3.0
6780,28.37192916870117,68.3561782836914,2015,3.0
6783,28.37192916870117,68.3561782836914,2018,3.0
6820,27.927404403686523,69.53800201416016,2015,3.0
6823,27.927404403686523,69.53800201416016,2018,3.0
6830,29.09483528137207,70.9021224975586,2015,3.0
6833,29.09483528137207,70.9021224975586,2018,3.0
6985,28.24427032470703,69.17993927001953,2015,3.0
6988,28.24427032470703,69.17993927001953,2018,3.0
7465,28.128393173217773,69.83147430419922,2015,3.0
7468,28.128393173217773,69.83147430419922,2018,3.0
7495,27.84945297241211,69.40609741210938,2015,3.0
7498,27.84945297241211,69.40609741210938,2018,3.0
7655,28.244308471679688,69.17990112304688,2015,3.0
7658,28.244308471679688,69.17990112304688,2018,3.0
7715,27.668819427490234,68.89433288574219,2015,3.0
7718,27.668819427490234,68.89433288574219,2018,3.0
7720,27.669912338256836,68.89397430419922,2015,3.0
7723,27.669912338256836,68.89397430419922,2018,3.0
7725,27.669912338256836,68.89397430419922,2015,3.0
7728,27.669912338256836,68.89397430419922,2018,3.0
7730,27.37834167480469,69.3819808959961,2015,3.0
7733,27.37834167480469,69.3819808959961,2018,3.0
7840,33.36974334716797,70.54454040527344,2015,4.0
7843,33.36974334716797,70.54454040527344,2018,4.0
7870,27.817869186401367,69.10934448242188,2015,3.0
7873,27.817869186401367,69.10934448242188,2018,3.0
7895,27.51828384399414,69.04402923583984,2015,3.0
7898,27.51828384399414,69.04402923583984,2018,3.0
7900,27.51828384399414,69.04402923583984,2015,3.0
7903,27.51828384399414,69.04402923583984,2018,3.0
7915,27.51828384399414,69.04402923583984,2015,3.0
7918,27.51828384399414,69.04402923583984,2018,3.0
7920,27.51828384399414,69.04402923583984,2015,3.0
7923,27.51828384399414,69.04402923583984,2018,3.0
7970,27.51828384399414,69.04402923583984,2015,3.0
7973,27.51828384399414,69.04402923583984,2018,3.0
7975,27.51828384399414,69.04402923583984,2015,3.0
7978,27.51828384399414,69.04402923583984,2018,3.0
8100,28.000059127807617,69.32180786132812,2015,3.0
8103,28.000059127807617,69.32180786132812,2018,3.0
8105,28.000059127807617,69.32180786132812,2015,3.0
8108,28.000059127807617,69.32180786132812,2018,3.0
8130,28.020065307617188,69.5401611328125,2015,3.0
8133,28.020065307617188,69.5401611328125,2018,3.0
