,newid,year,franchiseid_clean,bank,pp_type,latitud,longitud,province,district_str,matching_accuracy,num_transac,PROVINCE,PROVINCE_0,bank_district,counter,dup,bank_cat,payment_method,start_date,n_beneficiaries,BVS_district,_merge,BVS_group,start_date_pp,end_date_pp,treatment_dt,pp_active
103768,22771.0,2018,,UBL,POS,27.893661499023438,67.62455749511719,,LARKANA,3.0,,,Sind,HBL,16452.0,0.0,2.0,BVS,2017-03-25,63337.0,1.0,matched (3),1.0,2018-07-01,2019-06-30,1.0,0.0
103845,22788.0,2015,,UBL,POS,25.52164649963379,69.01136016845703,,MIRPUR KHAS,3.0,,,Sind,UBL,5696.0,0.0,6.0,BVS,2017-03-25,41346.0,1.0,matched (3),1.0,2015-07-01,2016-06-30,0.0,0.0
103848,22788.0,2018,234972,UBL,POS,25.52164649963379,69.01136016845703,Sind,MIRPUR KHAS,3.0,1895.0,Sind,Sind,UBL,5696.0,0.0,6.0,BVS,2017-03-25,41346.0,1.0,matched (3),1.0,2018-07-01,2019-06-30,1.0,1.0
103850,22789.0,2015,,UBL,POS,25.17098617553711,69.97360229492188,,THARPARKAR,3.0,,,Sind,UBL,16041.0,0.0,6.0,BVS,2017-03-25,62495.0,1.0,matched (3),1.0,2015-07-01,2016-06-30,0.0,0.0
103853,22789.0,2018,,UBL,POS,25.17098617553711,69.97360229492188,,THARPARKAR,3.0,,,Sind,UBL,16041.0,0.0,6.0,BVS,2017-03-25,62495.0,1.0,matched (3),1.0,2018-07-01,2019-06-30,1.0,0.0
103860,22791.0,2015,,UBL,POS,24.743833541870117,67.57979583740234,,THATTA,3.0,,,Sind,UBL,38224.0,0.0,6.0,BVS,2017-03-25,139243.0,1.0,matched (3),1.0,2015-07-01,2016-06-30,0.0,0.0
103863,22791.0,2018,,UBL,POS,24.743833541870117,67.57979583740234,,THATTA,3.0,,,Sind,UBL,38224.0,0.0,6.0,BVS,2017-03-25,139243.0,1.0,matched (3),1.0,2018-07-01,2019-06-30,1.0,0.0
103905,22801.0,2015,,UBL,POS,24.727628707885742,68.26261138916016,,THATTA,3.0,,,Sind,UBL,38224.0,0.0,6.0,BVS,2017-03-25,139243.0,1.0,matched (3),1.0,2015-07-01,2016-06-30,0.0,0.0
103908,22801.0,2018,235261,UBL,POS,24.727628707885742,68.26261138916016,Sind,THATTA,3.0,24855.0,Sind,Sind,UBL,38224.0,0.0,6.0,BVS,2017-03-25,139243.0,1.0,matched (3),1.0,2018-07-01,2019-06-30,1.0,1.0
103915,22804.0,2015,,UBL,POS,24.60424995422363,68.07756042480469,,THATTA,3.0,,,Sind,UBL,38224.0,0.0,6.0,BVS,2017-03-25,139243.0,1.0,matched (3),1.0,2015-07-01,2016-06-30,0.0,0.0
103918,22804.0,2018,235416,UBL,POS,24.60424995422363,68.07756042480469,Sind,THATTA,3.0,16824.0,Sind,Sind,UBL,38224.0,0.0,6.0,BVS,2017-03-25,139243.0,1.0,matched (3),1.0,2018-07-01,2019-06-30,1.0,1.0
103970,22815.0,2015,,UBL,POS,28.919374465942383,70.26764678955078,,RAJANPUR,3.0,,,Punjab,UBL,10910.0,0.0,6.0,BVS,2017-12-25,58979.0,1.0,matched (3),3.0,2015-07-01,2016-06-30,0.0,0.0
103973,22815.0,2018,,UBL,POS,28.919374465942383,70.26764678955078,,RAJANPUR,3.0,,,Punjab,UBL,10910.0,0.0,6.0,BVS,2017-12-25,58979.0,1.0,matched (3),3.0,2018-07-01,2019-06-30,1.0,0.0
103990,22819.0,2015,,UBL,POS,26.0278263092041,68.80848693847656,,SANGHAR,3.0,,,Sind,UBL,12252.0,0.0,6.0,BVS,2017-03-25,77978.0,1.0,matched (3),1.0,2015-07-01,2016-06-30,0.0,0.0
103993,22819.0,2018,235728,UBL,POS,26.0278263092041,68.80848693847656,Sind,SANGHAR,3.0,13158.0,Sind,Sind,UBL,12252.0,0.0,6.0,BVS,2017-03-25,77978.0,1.0,matched (3),1.0,2018-07-01,2019-06-30,1.0,1.0
103995,22820.0,2015,,UBL,POS,24.743841695418,67.5823840409949,,KARACHI MALIR,3.0,,,Sind,UBL,3124.0,0.0,6.0,BVS,2017-03-25,16953.0,1.0,matched (3),1.0,2015-07-01,2016-06-30,0.0,0.0
103998,22820.0,2018,235732,UBL,POS,24.743841695418,67.5823840409949,Sind,KARACHI MALIR,3.0,16892.0,Sind,Sind,UBL,3124.0,0.0,6.0,BVS,2017-03-25,16953.0,1.0,matched (3),1.0,2018-07-01,2019-06-30,1.0,1.0
104020,22825.0,2015,,UBL,POS,24.6042537689209,68.07756042480469,,THATTA,3.0,,,Sind,UBL,38224.0,0.0,6.0,BVS,2017-03-25,139243.0,1.0,matched (3),1.0,2015-07-01,2016-06-30,0.0,0.0
104023,22825.0,2018,,UBL,POS,24.6042537689209,68.07756042480469,,THATTA,3.0,,,Sind,UBL,38224.0,0.0,6.0,BVS,2017-03-25,139243.0,1.0,matched (3),1.0,2018-07-01,2019-06-30,1.0,0.0
104030,22827.0,2015,,UBL,POS,25.461463928222656,68.71520233154297,,TANDO M. KHAN,4.0,,,Sind,SINDH,2824.0,0.0,3.0,,,,,master only (1),,2015-07-01,2016-06-30,0.0,0.0
104033,22827.0,2018,235840,UBL,POS,25.461463928222656,68.71520233154297,Sind,TANDO M. KHAN,4.0,3636.0,Sind,Sind,SINDH,2824.0,0.0,3.0,,,,,master only (1),,2018-07-01,2019-06-30,0.0,1.0
104060,22833.0,2015,,UBL,POS,24.543407440185547,67.62747955322266,,THATTA,3.0,,,Sind,UBL,38224.0,0.0,6.0,BVS,2017-03-25,139243.0,1.0,matched (3),1.0,2015-07-01,2016-06-30,0.0,0.0
104063,22833.0,2018,236162,UBL,POS,24.543407440185547,67.62747955322266,Sind,THATTA,3.0,7500.0,Sind,Sind,UBL,38224.0,0.0,6.0,BVS,2017-03-25,139243.0,1.0,matched (3),1.0,2018-07-01,2019-06-30,1.0,1.0
104065,22834.0,2015,,UBL,POS,24.543405532836914,67.62747955322266,,THATTA,3.0,,,Sind,UBL,38224.0,0.0,6.0,BVS,2017-03-25,139243.0,1.0,matched (3),1.0,2015-07-01,2016-06-30,0.0,0.0
104068,22834.0,2018,236170,UBL,POS,24.543405532836914,67.62747955322266,Sind,THATTA,3.0,6442.0,Sind,Sind,UBL,38224.0,0.0,6.0,BVS,2017-03-25,139243.0,1.0,matched (3),1.0,2018-07-01,2019-06-30,1.0,1.0
104080,22837.0,2015,,UBL,POS,30.6215991973877,67.32601165771484,,PISHIN,3.0,,,Baluchistan,UBL,2002.0,0.0,6.0,BVS,2017-12-25,10461.0,1.0,matched (3),3.0,2015-07-01,2016-06-30,0.0,0.0
104083,22837.0,2018,236403,UBL,POS,30.6215991973877,67.32601165771484,Baluchistan,PISHIN,3.0,3580.0,Baluchistan,Baluchistan,UBL,2002.0,0.0,6.0,BVS,2017-12-25,10461.0,1.0,matched (3),3.0,2018-07-01,2019-06-30,1.0,1.0
104145,22850.0,2015,,UBL,POS,24.60373306274414,68.07862091064453,,THATTA,3.0,,,Sind,UBL,38224.0,0.0,6.0,BVS,2017-03-25,139243.0,1.0,matched (3),1.0,2015-07-01,2016-06-30,0.0,0.0
104148,22850.0,2018,237141,UBL,POS,24.60373306274414,68.07862091064453,Sind,THATTA,3.0,10130.0,Sind,Sind,UBL,38224.0,0.0,6.0,BVS,2017-03-25,139243.0,1.0,matched (3),1.0,2018-07-01,2019-06-30,1.0,1.0
104255,22872.0,2015,,UBL,POS,27.54998016357422,68.20149230957031,,LARKANA,3.0,,,Sind,HBL,16452.0,0.0,2.0,BVS,2017-03-25,63337.0,1.0,matched (3),1.0,2015-07-01,2016-06-30,0.0,0.0
104258,22872.0,2018,239745,UBL,POS,27.54998016357422,68.20149230957031,Sind,LARKANA,3.0,650.0,Sind,Sind,HBL,16452.0,0.0,2.0,BVS,2017-03-25,63337.0,1.0,matched (3),1.0,2018-07-01,2019-06-30,1.0,1.0
104365,22894.0,2015,,UBL,POS,27.450153350830078,67.79908752441406,,LARKANA,3.0,,,Sind,HBL,16452.0,0.0,2.0,BVS,2017-03-25,63337.0,1.0,matched (3),1.0,2015-07-01,2016-06-30,0.0,0.0
104368,22894.0,2018,241752,UBL,POS,27.450153350830078,67.79908752441406,Sind,LARKANA,3.0,4038.0,Sind,Sind,HBL,16452.0,0.0,2.0,BVS,2017-03-25,63337.0,1.0,matched (3),1.0,2018-07-01,2019-06-30,1.0,1.0
104425,22906.0,2015,,UBL,POS,28.51658058166504,68.54219818115234,,JAFFARABAD,3.0,,,Baluchistan,UBL,6843.0,0.0,6.0,BVS,2017-03-25,27748.0,1.0,matched (3),1.0,2015-07-01,2016-06-30,0.0,0.0
104428,22906.0,2018,,UBL,POS,28.51658058166504,68.54219818115234,,JAFFARABAD,3.0,,,Baluchistan,UBL,6843.0,0.0,6.0,BVS,2017-03-25,27748.0,1.0,matched (3),1.0,2018-07-01,2019-06-30,1.0,0.0
104465,22914.0,2015,,UBL,POS,34.04494857788086,72.95540618896484,,HARIPUR,3.0,,,N.W.F.P.,ALFALAH,2011.0,0.0,1.0,,,,,master only (1),,2015-07-01,2016-06-30,0.0,0.0
